invoice_id,po_id,amount,invoice_date,duplicate_check_hash
INV-6001,PO-3001,5000,2026-06-05,H-A001
INV-6002,PO-3002,12000,2026-06-07,H-A002
INV-6003,PO-3003,3000,2026-06-09,H-A003
INV-6004,PO-3004,8000,2026-06-14,H-A004
INV-6005,PO-3005,22000,2026-06-16,H-A005
INV-6006,PO-3007,7000,2026-06-22,H-A006
INV-6007,PO-3008,15000,2026-06-24,H-A007
INV-6008,PO-3009,4000,2026-06-26,H-A008
INV-6009,PO-3010,62000,2026-06-29,H-DUP01
INV-6010,PO-3010,62000,2026-06-30,H-DUP01
INV-6011,PO-3011,6000,2026-07-05,H-A011
INV-6012,PO-3012,2500,2026-07-06,H-A012
INV-6013,PO-3014,9000,2026-07-08,H-A014
INV-6014,PO-3015,3000,2026-07-09,H-A015
INV-6015,PO-3016,11000,2026-07-10,H-A016
INV-6016,PO-3018,6000,2026-07-12,H-A018
INV-6017,PO-3019,3000,2026-07-13,H-A019
INV-6018,PO-3020,4000,2026-07-14,H-A020
INV-6019,PO-3021,2000,2026-07-15,H-A021
INV-6020,PO-3022,3500,2026-07-16,H-A022
INV-6021,PO-3024,6000,2026-07-18,H-A024
INV-6022,PO-3025,2800,2026-07-19,H-A025
INV-6023,PO-3026,3200,2026-07-20,H-A026
INV-6024,PO-3027,4800,2026-07-21,H-A027
